Code,Description,Active
"3675",Electronic Capacitors,true
"3676",Electronic Resistors,true
"3677",Electronic Coils And Transformers,true
"3678",Electronic Connectors,true
"3679",Electronic Components,true
"3691",Storage Batteries,true
"3692","Primary Batteries, Dry And Wet",true
"3694",Engine Electrical Equipment,true
"3695",Magnetic And Optical Recording Media,true
"3699",Electrical Equipment & Supplies,true
"3710",Legacy Docket Conv,false
"3711",Motor Vehicles And Car Bodies,true
"3713",Truck And Bus Bodies,true
"3714",Motor Vehicle Parts And Accessories,true
"3715",Truck Trailers,true
"3716",Motor Homes,true
"3721",Aircraft,true
"3724",Aircraft Engines And Engine Parts,true
"3728",Aircraft Parts And Equipment,true
"3731",Ship Building And Repairing,true
"3732",Boat Building And Repairing,true
"3743",Railroad Equipment,true
"3751","Motorcycles, Bicycles, And Parts",true
"3761",Guided Missiles And Space Vehicles,true
"3764",Space Propulsion Units And Parts,true
"3769",Space Vehicle Equipment,true
"3792",Travel Trailers And Campers,true
"3795",Tanks And Tank Components,true
"3799",Transportation Equipment,true
"3811",Engineering & Scientific Instruments(1977),false
"3812",Search And Navigation Equipment,true
"3821",Laboratory Apparatus And Furniture,true
"3822",Environmental Controls,true
"3823",Process Control Instruments,true
"3824",Fluid Meters And Counting Devices,true
"3825",Instruments To Measure Electricity,true
"3826",Analytical Instruments,true
"3827",Optical Instruments And Lenses,true
"3829",Measuring & Controlling Devices,true
"3832",Optical Instruments And Lenses(1977),false
"3841",Surgical And Medical Instruments,true
"3842",Surgical Appliances And Supplies,true
"3843",Dental Equipment And Supplies,true
"3844",X-Ray Apparatus And Tubes,true
"3845",Electromedical Equipment,true
"3851",Ophthalmic Goods - Manufacturing,true
"3861",Photographic Equipment And Supplies,true
"3873","Watches, Clocks, Watchcases & Parts",true
"3911","Jewelry, Precious Metal",true
"3914",Silverware And Plated Ware,true
"3915",Jewelers' Materials & Lapidary Work,true
"3931",Musical Instruments,true
"3942",Dolls And Stuffed Toys,true
"3944","Games, Toys, And Children's Vehicles",true
"3949",Sporting And Athletic Goods,true
"3951",Pens And Mechanical Pencils,true
"3952",Lead Pencils And Art Goods,true
"3953",Marking Devices,true
"3955",Carbon Paper And Inked Ribbons,true
"3961",Costume Jewelry,true
"3965","Fasteners, Buttons, Needles, & Pins",true
"3991",Brooms And Brushes,true
"3993",Signs And Advertising Specialities,true
"3995",Burial Caskets,true
"3996",Hard Surface Floor Coverings,true
"3999",Manufacturing Industries,true
"4011","Railroads, Line-Haul Operating",true
"4013",Switching And Terminal Services,true
"4110",Legacy Docket Conv,false
"4111",Local And Suburban Transit,true
"4119",Local Passenger Transportation,true
"4121",Taxicabs,true
"4131",Intercity & Rural Bus Transportation,true
"4141",Local Bus Charter Service,true
"4142","Bus Charter Service, Except Local",true
"4151",School Buses,true
"4173",Bus Terminal And Service Facilities,true
"4212","Local Trucking, Without Storage",true
"4213","Trucking, Except Local",true
"4214",Local Trucking With Storage,true
"4215","Courier Services, Except By Air",true
"4221",Farm Product Warehousing And Storage,true
"4222",Refrigerated Warehousing And Storage,true
"4224",Legacy Docket Conv,false
"4225",General Warehousing And Storage,true
"4226",Special Warehousing And Storage,true
"4231",Trucking Terminal Facilities,true
"4311",U.S. Postal Service,true
"4412",Deep Sea Foreign Trans. Of Freight,true
"4423",Legacy Docket Conv,false
"4424",Deep Sea Domestic Trans. Of Freight,true
"4425",Legacy Docket Conv,false
"4432",Freight Trans. On The Great Lakes,true
"4441",Legacy Docket Conv,false
"4449",Water Transportation Of Freight,true
"4452",Legacy Docket Conv,false
"4469",Legacy Docket Conv,false
"4481","Deep Sea Passenger Trans., Except Ferry",true
"4482",Ferries,true
"4489",Water Passenger Transportation,true
"4491",Marine Cargo Handling,true
"4492",Towing And Tugboat Service,true
"4493",Marinas,true
"4499",Water Transportation Services,true
"4511",Legacy Docket Conv,false
"4512","Air Transportation, Scheduled",true
"4513",Air Courier Services,true
"4521",Legacy Docket Conv,false
"4522","Air Transportation, Nonscheduled",true
"4581","Airports, Flying Fields, & Services",true
"4582",Legacy Docket Conv,false
"4612",Crude Petroleum Pipelines,true
"4613",Refined Petroleum Pipelines,true
"4619",Pipelines,true
"4722",Legacy Docket Conv,false
"4723",Legacy Docket Conv,false
"4724",Travel Agencies,true
"4725",Tour Operators,true
"4729",Passenger Transport Arrangement,true
"4731",Freight Transportation Arrangement,true
"4741",Rental Of Railroad Cars,true
"4742",Railroad Car Rental With Serv(1977),false
"4743",Legacy Docket Conv,false
"4783",Packing And Crating,true
"4785",Inspection & Fixed Facilities,true
"4789",Transportation Services,true
"4812",Radiotelephone Communications,true
"4813","Telephone Communications, Except Radio",true
"4822",Telegraph & Other Communications,true
"4832",Radio Broadcasting Stations,true
"4833",Television Broadcasting Stations,true
"4841",Cable And Other Pay TV Services,true
"4899",Communications Services,true
"4910",Legacy Docket Conv,false
"4911",Electric Services,true
"4922",Natural Gas Transmission,true
"4923",Gas Transmission And Distribution,true
"4924",Natural Gas Distribution,true
"4925",Gas Production And/Or Distribution,true
"4930",Legacy Docket Conv,false
"4931",Electric And Other Services Combined,true
"4932",Gas And Other Services Combined,true
"4939",Combination Utilities,true
"4940",Legacy Docket Conv,false
"4941",Water Supply,true
"4950",Legacy Docket Conv,false
"4952",Sewerage Systems,true
"4953",Refuse Systems,true
"4959",Sanitary Services,true
"4961",Steam And Air-Conditioning Supply,true
"4971",Irrigation Systems,true
"5012",Automobiles And Other Motor Vehicles,true
"5013",Motor Vehicle Supplies And New Parts,true
"5014",Tires And Tubes,true
"5015","Motor Vehicle Parts, Used",true
"5021",Furniture,true
"5023",Homefurnishings,true
"5031","Lumber, Plywood, And Millwork",true
"5032","Brick, Stone, & Related Materials",true
"5033","Roofing, Siding, & Insulation",true
"5039",Construction Materials,true
"5043",Photographic Equipment and Supplies - Wholesale Distribution,true
"5044",Office Equipment,true
"5045","Computers, Peripherals & Software",true
"5046",Commercial Equipment,true
"5047",Medical And Hospital Equipment,true
"5048",Ophthalmic Goods - Wholesale Distribution,true
"5049",Professional Equipment,true
"5051",Metals Service Centers And Offices,true
"5052",Coal And Other Minerals And Ores,true
"5063",Electrical Apparatus And Equipment,true
"5064","Electrical Appliances, TV & Radios",true
"5065",Electronic Parts And Equipment,true
"5072",Wholesale Trade - Hardware,true
"5074",Plumbing & Hydronic Heating Supplies,true
"5075",Warm Air Heating & Air-Conditioning,true
"5078",Refrigeration Equipment And Supplies,true
"5081",Legacy Docket Conv,false
"5082",Construction And Mining Machinery,true
"5083",Farm And Garden Machinery,true
"5084",Industrial Machinery And Equipment,true
"5085",Industrial Supplies,true
"5086",Legacy Docket Conv,false
"5087",Service Establishment Equipment,true
"5088",Transportation Equipment & Supplies,true
"5090",Legacy Docket Conv,false
"5091",Sporting & Recreational Goods,true
"5092",Toys And Hobby Goods And Supplies,true
"5093",Scrap And Waste Materials,true
"5094",Jewelry & Precious Stones,true
"5099",Durable Goods,true
"5111",Printing And Writing Paper,true
"5112",Stationery And Office Supplies,true
"5113",Industrial & Personal Service Paper,true
"5122","Drugs, Proprietaries, And Sundries",true
"5131",Piece Goods & Notions,true
"5136",Wholesale Trade - Men's and Boys' Clothing,true
"5137",Women's And Children's Clothing,true
"5139",Footwear,true
"5141","Groceries, General Line",true
"5142",Packaged Frozen Foods,true
"5143","Dairy Products, Except Dried Or Canned",true
"5144",Poultry And Poultry Products,true
"5145",Confectionery,true
"5146",Fish And Seafoods,true
"5147",Meats And Meat Products,true
"5148",Fresh Fruits And Vegetables,true
"5149",Groceries And Related Products,true
"5153",Grain And Field Beans,true
"5154",Livestock,true
"5159",Farm-Product Raw Materials,true
"5161",Chemicals And Allied Products(1977),false
"5162",Plastics Materials & Basic Shapes,true
"5169",Chemicals & Allied Products,true
"5170",Legacy Docket Conv,false
"5171",Petroleum Bulk Stations & Terminals,true
"5172",Petroleum Products,true
"5181",Beer And Ale,true
"5182",Wine And Distilled Beverages,true
"5191",Farm Supplies,true
"5192","Books, Periodicals, & Newspapers",true
"5193",Flowers & Florists' Supplies,true
"5194",Tobacco And Tobacco Products,true
"5198","Paints, Varnishes, And Supplies",true
"5199",Nondurable Goods,true
"5211",Lumber And Other Building Materials,true
"5231","Paint, Glass, And Wallpaper Stores",true
"5251",Hardware Stores,true
"5261",Retail Nurseries And Garden Stores,true
"5271",Mobile Home Dealers,true
"5311",Department Stores,true
"5331",Variety Stores,true
"5399",Miscellaneous General Merchandise Stores,true
"5410",Legacy Docket Conv,false
"5411",Grocery Stores,true
"5421",Meat And Fish Markets,true
"5431",Fruit And Vegetable Markets,true
"5441","Candy, Nut, And Confectionery Stores",true
"5451",Dairy Products Stores,true
"5461",Retail Bakeries,true
"5490",Legacy Docket Conv,false
"5499",Miscellaneous Food Stores,true
"5511",New And Used Car Dealers,true
"5521",Used Car Dealers,true
"5531",Auto And Home Supply Stores,true
"5541",Gasoline Service Stations,true
"5551",Boat Dealers,true
"5561",Recreational Vehicle Dealers,true
"5571",Motorcycle Dealers,true
"5599",Automotive Dealers,true
"5611",Men's & Boys' Clothing Stores,true
"5621",Women's Clothing Stores,true
"5632",Women's Accessory & Specialty Stores,true
"5641",Children's And Infants' Wear Stores,true
"5651",Family Clothing Stores,true
"5661",Shoe Stores,true
"5699",Miscellaneous Apparel & Accessory Stores,true
"5712",Furniture Stores,true
"5713",Floor Covering Stores,true
"5714",Drapery And Upholstery Stores,true
"5719",Miscellaneous Homefurnishings Stores,true
"5722",Household Appliance Stores,true
"5731","Radio, TV, & Electronic Stores",true
"5734",Computer And Software Stores,true
"5735",Record & Prerecorded Tape Stores,true
"5736",Musical Instrument Stores,true
"5812",Eating Places,true
"5813",Drinking Places,true
"5912",Drug Stores And Proprietary Stores,true
"5921",Liquor Stores,true
"5931",Legacy Docket Conv,false
"5932",Used Merchandise Stores,true
"5941",Sporting Goods And Bicycle Shops,true
"5942",Book Stores,true
"5943",Stationery Stores,true
"5944",Jewelry Stores,true
"5945","Hobby, Toy, And Game Shops",true
"5946",Camera & Photographic Supply Stores,true
"5947","Gift, Novelty, And Souvenir Shops",true
"5948",Luggage And Leather Goods Stores,true
"5949","Sewing, Needlework, And Piece Goods",true
"5961",Catalog And Mail-Order Houses,true
"5962",Merchandising Machine Operators,true
"5963",Direct Selling Establishments,true
"5983",Fuel Oil Dealers,false
"5984",Liquefied Petroleum Gas Dealers,true
"5989",Fuel Dealers 599 Retail Stores,true
"5992",Florists,true
"5993",Tobacco Stores And Stands,true
"5994",News Dealers And Newsstands,true
"5995",Optical Goods Stores,true
"5999",Miscellaneous Retail Stores,true
"6011",Federal Reserve Banks,true
"6019",Central Reserve Depository,true
"6021",National Commercial Banks,true
"6022",State Commercial Banks,true
"6029",Commercial Banks,true
"6035",Federal Savings Institutions,true
"6036","Savings Institutions, Except Federal",true
"6061",Federal Credit Unions,true
"6062",State Credit Unions,true
"6081",Foreign Bank & Branches & Agencies,true
"6082",Foreign Trade & International Banks,true
"6091",Nondeposit Trust Facilities,true
"6099",Functions Related To Deposit Banking,true
"6111",Federal & Fed.-Sponsored Credit,true
"6141",Personal Credit Institutions,true
"6143",Legacy Docket Conv,false
"6153",Short-Term Business Credit,true
"6159",Miscellaneous Business Credit Institutions,true
"6162",Mortgage Bankers And Correspondents,true
"6163",Loan Brokers,true
"6211",Security Brokers And Dealers,true
"6221","Commodity Contracts Brokers, Dealers",true
"6231",Security And Commodity Exchanges,true
"6282",Investment Advice,true
"6289",Security & Commodity Services,true
"6311",Life Insurance,true
"6321",Accident And Health Insurance,true
"6324",Hospital And Medical Service Plans,true
"6331","Fire, Marine, And Casualty Insurance",true
"6351",Surety Insurance,true
"6361",Title Insurance,true
"6371","Pension, Health, And Welfare Funds",true
"6399",Insurance Carriers,true
"6411","Insurance Agents, Brokers, & Service",true
"6510",Legacy Docket Conv,false
"6512",Nonresidential Building Operators,true
"6513",Apartment Building Operators,true
"6514","Dwelling Operators, Except Apartments",true
"6515",Mobile Home Site Operators,true
"6517",Railroad Property Lessors,true
"6519",Real Property Lessors,true
"6531",Real Estate Agents And Managers,true
"6541",Title Abstract Offices,true
"6552",Subdividers And Developers,true
"6553",Cemetery Subdividers And Developers,true
"6711",Legacy Docket Conv,false
"6712",Bank Holding Companies,true
"6719",Holding Companies,true
"6722","Management Investment, Open-End",true
"6726",Investment Offices,true
"6732","Educational, Religious, Etc. Trusts",true
"6733",Trusts,true
"6792",Oil Royalty Traders,true
"6794",Patent Owners And Lessors,true
"6798",Real Estate Investment Trusts,true
"6799",Investors,true
"7011",Hotels And Motels,true
"7021",Rooming And Boarding Houses,true
"7032",Sporting And Recreational Camps,true
"7033",Trailer Parks And Campsites,true
"7041",Membership-Basis Organization Hotels,true
"7211","Power Laundries, Family & Commercial",true
"7212",Garment Pressing & Cleaners' Agents,true
"7213",Linen Supply,true
"7215",Coin-Operated Laundries And Cleaning,true
"7216","Drycleaning Plants, Except Rug",true
"7217",Carpet And Upholstery Cleaning,true
"7218",Industrial Launderers,true
"7219",Laundry And Garment Services,true
"7221","Photographic Studios, Portrait",true
"7231",Beauty Shops,true
"7241",Barber Shops,true
"7251",Shoe Repair And Shoeshine Parlors,true
"7261",Funeral Service And Crematories,true
"7291",Tax Return Preparation Services,true
"7299",Miscellaneous Personal Services,true
"7311",Advertising Agencies,true
"7312",Outdoor Advertising Services,true
"7313","Radio, TV, Publisher Representatives",true
"7319",Advertising,true
"7322",Adjustment & Collection Services,true
"7323",Credit Reporting Services,true
"7331",Direct Mail Advertising Services,true
"7334",Photocopying & Duplicating Services,true
"7335",Commercial Photography,true
"7336",Commercial Art And Graphic Design,true
"7338",Secretarial & Court Reporting,true
"7342",Disinfecting & Pest Control Services,true
"7349",Building Maintenance Services,true
"7352",Medical Equipment Rental,true
"7353",Heavy Construction Equipment Rental,true
"7359",Equipment Rental & Leasing,true
"7361",Employment Agencies,true
"7363",Help Supply Services,true
"7371",Computer Programming Services,true
"7372",Prepackaged Software,true
"7373",Computer Integrated Systems Design,true
"7374",Data Processing And Preparation,true
"7375",Information Retrieval Services,true
"7376",Computer Facilities Management,true
"7377",Computer Rental & Leasing,true
"7378",Computer Maintenance & Repair,true
"7379",Computer Related Services,true
"7381",Detective & Armored Car Services,true
"7382",Security Systems Services,true
"7383",News Syndicates,true
"7384",Photofinishing Laboratories,true
"7389",Business Services,true
"7391",Research & Development Laboratories(1977),false
"7392",Legacy Docket Conv,false
"7397",Legacy Docket Conv,false
"7399",Legacy Docket Conv,false
"7513","Truck Rental And Leasing, No Drivers",true
"7514",Passenger Car Rental,true
"7515",Passenger Car Leasing,true
"7519",Utility Trailer Rental,true
"7521",Automobile Parking,true
"7532",Top & Body Repair & Paint Shops,true
"7533",Auto Exhaust System Repair Shops,true
"7534",Tire Retreading And Repair Shops,true
"7536",Automotive Glass Replacement Shops,true
"7537",Automotive Transmission Repair Shops,true
"7538",General Automotive Repair Shops,true
"7539",Automotive Repair Shops,true
"7542",Carwashes,true
"7549",Automotive Services,true
"7622",Radio And Television Repair,true
"7623",Refrigeration Service And Repair,true
"7629",Electrical Repair Shops,true
"7631","Watch, Clock, And Jewelry Repair",true
"7641",Reupholstery And Furniture Repair,true
"7692",Welding Repair,true
"7694",Armature Rewinding Shops,true
"7699",Repair Services,true
"7812",Motion Picture & Video Production,true
"7819",Services Allied To Motion Pictures,true
"7822",Motion Picture And Tape Distribution,true
"7829",Motion Picture Distribution Services,true
"7832","Motion Picture Theaters, Except Drive-In",true
"7833",Drive-In Motion Picture Theaters,true
"7841",Video Tape Rental,true
"7911","Dance Studios, Schools, And Halls",true
"7922",Theatrical Producers And Services,true
"7929",Entertainers & Entertainment Groups,true
"7933",Bowling Centers,true
"7941","Sports Clubs, Managers, & Promoters",true
"7948","Racing, Including Track Operation",true
"7991",Physical Fitness Facilities,true
"7992",Public Golf Courses,true
"7993",Coin-Operated Amusement Devices,true
"7996",Amusement Parks,true
"7997",Membership Sports & Recreation Clubs,true
"7999",Amusement And Recreation,true
"8011",Offices & Clinics Of Medical Doctors,true
"8021",Offices And Clinics Of Dentists,true
"8031",Offices Of Osteopathic Physicians,true
"8041",Offices And Clinics Of Chiropractors,true
"8042",Offices And Clinics Of Optometrists,true
"8043",Offices And Clinics Of Podiatrists,true
"8049",Offices Of Health Practitioners,true
"8051",Skilled Nursing Care Facilities,true
"8052",Intermediate Care Facilities,true
"8059",Nursing And Personal Care,true
"8061",Legacy Docket Conv,false
"8062",General Medical & Surgical Hospitals,true
"8063",Psychiatric Hospitals,true
"8069",Specialty Hospitals Except Psychiatric,true
"8071",Medical Laboratories,true
"8072",Dental Laboratories,true
"8082",Home Health Care Services,true
"8092",Kidney Dialysis Centers,true
"8093",Specialty Outpatient Clinics,true
"8099",Health And Allied Services,true
"8111",Legal Services,true
"8210",Legacy Docket Conv,false
"8211",Elementary And Secondary Schools,true
"8221",Colleges And Universities,true
"8222",Junior Colleges,true
"8231",Libraries,true
"8243",Data Processing Schools,true
"8244",Business And Secretarial Schools,true
"8249",Vocational Schools,true
"8299",Schools & Educational Services,true
"8321",Legacy Docket Conv,false
"8322",Individual And Family Services,true
"8331",Job Training And Related Services,true
"8351",Child Day Care Services,true
"8361",Residential Care,true
"8399",Social Services,true
"8411",Legacy Docket Conv,false
"8412",Museums And Art Galleries,true
"8422",Botanical And Zoological Gardens,true
"8611",Business Associations,true
"8621",Professional Organizations,true
"8631",Labor Organizations,true
"8641",Civic And Social Associations,true
"8651",Political Organizations,true
"8661",Religious Organizations,true
"8699",Membership Organizations,true
"8711",Engineering Services,true
"8712",Architectural Services,true
"8713",Surveying Services,true
"8721","Accounting, Auditing, & Bookkeeping",true
"8731",Commercial Physical Research,true
"8732",Commercial Nonphysical Research,true
"8733",Noncommercial Research Organizations,true
"8734",Testing Laboratories,true
"8741",Management Services,true
"8742",Management Consulting Services,true
"8743",Public Relations Services,true
"8744",Facilities Support Services,true
"8748",Business Consulting,true
"8811",Private Households,true
"8911",Legacy Docket Conv,false
"8922",Noncommercial Research Organizations(1977),false
"8999",Services,true
"9111",Executive Offices,true
"9121",Legislative Bodies,true
"9131",Executive And Legislative Combined,true
"9190",Legacy Docket Conv,false
"9199",General Government,true
"9211",Courts,false
"9221",Police Protection,true
"9222",Legal Counsel And Prosecution,true
"9223",Correctional Institutions,true
"9224",Fire Protection,true
"9229",Public Order And Safety,true
"9311","Finance, Taxation, & Monetary Policy",true
"9411",Admin. Of Educational Programs,true
"9431",Admin. Of Public Health Programs,true
"9441",Admin. Of Social & Manpower Programs,true
"9451",Administration Of Veterans' Affairs,true
"9511","Air, Water, & Solid Waste Management",true
"9512","Land, Mineral, Wildlife Conservation",true
"9531",Housing Programs,true
"9532",Urban And Community Development,true
"9611",Administration Of General Economic Programs,true
"9621","Regulation, Administration Of Transportation",true
"9631","Regulation, Administration Of Utilities",true
"9641",Regulation Of Agricultural Marketing,true
"9651",Regulation Miscellaneous Commercial Sectors,true
"9661",Space Research And Technology,true
"9711",National Security,true
"9721",International Affairs,true
"9999",Nonclassifiable Establishments,true
